fig|6666666.540620.peg.6904	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6903	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6902	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6901	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6900	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6899	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6898	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6897	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6896	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6895	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6894	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6893	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6892	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6891	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6890	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6889	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6888	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6887	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6886	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6885	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6884	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6883	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6882	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6881	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6880	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6879	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6878	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6877	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6876	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6875	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6874	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6873	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6872	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6871	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6870	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6869	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6868	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6867	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6866	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6865	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6864	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6863	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6862	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6861	CuatroCienegas	210.3	Streptomyces sp. CC226D	NRPS	NRPS	amychelin	12
fig|6666666.540620.peg.6837	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6836	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6835	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6834	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6833	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6832	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6831	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6830	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6829	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6828	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6827	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6826	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6825	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6824	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6823	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6822	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6821	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6820	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6819	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6818	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6817	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6816	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6815	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6814	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6813	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6812	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6811	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6810	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6809	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6808	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6807	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6806	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6805	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6804	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6803	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6802	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6801	CuatroCienegas	210.2	Streptomyces sp. CC226D	NRPS-like	NRPS-like	BD-12	7
fig|6666666.540620.peg.6703	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6702	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6701	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6700	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6699	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6698	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6697	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6696	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6695	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6694	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6693	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6692	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6691	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6690	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6689	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6688	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6687	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6686	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6685	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6684	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6683	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6682	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6681	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6680	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6679	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6678	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6677	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6676	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6675	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6674	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6673	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6672	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6671	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6670	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6669	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6668	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6667	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6666	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6665	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6664	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6663	CuatroCienegas	210.1	Streptomyces sp. CC226D	hglE-KS	hglE-KS	enterocin	15
fig|6666666.540620.peg.6106	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6105	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6104	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6103	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6102	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6101	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6100	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6099	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6098	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6097	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6096	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6095	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6094	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6093	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6092	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6091	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6090	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6089	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6088	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6087	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6086	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6085	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6084	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6083	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6082	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6081	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6080	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6079	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6078	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6077	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6076	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6075	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6074	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6073	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6072	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6071	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6070	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.6069	CuatroCienegas	140.1	Streptomyces sp. CC226D	T1PKS	NRPS	enduracidin	8
fig|6666666.540620.peg.5901	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5900	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5899	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5898	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5897	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5896	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5895	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5894	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5893	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5892	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5891	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5890	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5889	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5888	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5887	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5886	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5885	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5884	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5883	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5882	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5881	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5880	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5879	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5878	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5877	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5876	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5875	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5874	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5873	CuatroCienegas	205.1	Streptomyces sp. CC226D	T1PKS	T1PKS		
fig|6666666.540620.peg.5723	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5722	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5721	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5720	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5719	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5718	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5717	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5716	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5715	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5714	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5713	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5712	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5711	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5710	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5709	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5708	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5707	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5706	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5705	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5704	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5703	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5702	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5701	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5700	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5699	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5698	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5697	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
fig|6666666.540620.peg.5696	CuatroCienegas	49.1	Streptomyces sp. CC226D	NRPS	NRPS	limazepine C / limazepine D / limazepine E / limazepine F / limazepine A	27
